instance_number,BaB-DQN_tour_cost,ILDS-DQN_tour_cost,RBS-PPO_tour_cost
1,4719.0,4719.0,4733.0
2,4840.0,4840.0,4856.0
3,5211.0,5211.0,5211.0
4,5744.0,5744.0,5744.0
5,5516.0,5516.0,5516.0
6,5330.0,5330.0,5330.0
7,5315.0,5315.0,5315.0
8,4997.0,4997.0,5008.0
9,5501.0,5501.0,5501.0
10,4933.0,4933.0,4933.0
11,5239.0,5239.0,5239.0
12,4861.0,4861.0,4856.0
13,5038.0,5038.0,5038.0
14,5155.0,5155.0,5155.0
15,5155.0,5155.0,5155.0
16,5426.0,5426.0,5428.0
17,5283.0,5283.0,5283.0
18,5168.0,5168.0,5168.0
19,5056.0,5056.0,5058.0
20,5595.0,5595.0,5595.0
21,4926.0,4926.0,4927.0
22,5471.0,5471.0,5477.0
23,4756.0,4756.0,4757.0
24,4988.0,4988.0,4995.0
25,5016.0,5016.0,5025.0
26,5675.0,5675.0,5675.0
27,5261.0,5261.0,5263.0
28,5338.0,5338.0,5342.0
29,5240.0,5240.0,5240.0
30,4825.0,4825.0,4825.0
31,4813.0,4813.0,4827.0
32,5643.0,5643.0,5643.0
33,5333.0,5333.0,5333.0
34,5018.0,5018.0,5018.0
35,4890.0,4890.0,4892.0
36,4738.0,4738.0,4739.0
37,5201.0,5201.0,5201.0
38,5095.0,5095.0,5095.0
39,4965.0,4965.0,4965.0
40,5431.0,5431.0,5432.0
41,5128.0,5128.0,5129.0
42,5582.0,5582.0,5582.0
43,4644.0,4644.0,4644.0
44,5478.0,5478.0,5478.0
45,4571.0,4571.0,4611.0
46,5614.0,5614.0,5623.0
47,5509.0,5509.0,5509.0
48,5042.0,5042.0,5047.0
49,4938.0,4938.0,4942.0
50,5135.0,5135.0,5135.0
51,5117.0,5117.0,5117.0
52,5018.0,5018.0,5018.0
53,4488.0,4488.0,4492.0
54,4838.0,4838.0,4841.0
55,4981.0,4981.0,4984.0
56,5098.0,5098.0,5098.0
57,5196.0,5196.0,5196.0
58,5154.0,5154.0,5160.0
59,5471.0,5471.0,5471.0
60,4600.0,4600.0,4624.0
61,4830.0,4830.0,4830.0
62,5071.0,5071.0,5071.0
63,4846.0,4846.0,4846.0
64,5614.0,5614.0,5614.0
65,5286.0,5286.0,5287.0
66,5397.0,5397.0,5397.0
67,5408.0,5408.0,5408.0
68,4937.0,4937.0,4937.0
69,5017.0,5017.0,5018.0
70,5055.0,5055.0,5055.0
71,4547.0,4547.0,4536.0
72,4714.0,4714.0,4733.0
73,4661.0,4661.0,4670.0
74,5278.0,5278.0,5280.0
75,5400.0,5400.0,5400.0
76,4780.0,4780.0,4783.0
77,5410.0,5410.0,5412.0
78,4726.0,4726.0,4744.0
79,5153.0,5153.0,5153.0
80,5191.0,5191.0,5194.0
81,5124.0,5124.0,5124.0
82,5575.0,5575.0,5575.0
83,5236.0,5236.0,5236.0
84,5014.0,5008.0,5023.0
85,5150.0,5150.0,5150.0
86,5481.0,5481.0,5481.0
87,5000.0,5000.0,5001.0
88,5239.0,5239.0,5239.0
89,5056.0,5056.0,5056.0
90,5059.0,5059.0,5061.0
91,4975.0,4975.0,4975.0
92,5082.0,5082.0,5089.0
93,5317.0,5317.0,5317.0
94,5515.0,5515.0,5515.0
95,4843.0,4843.0,4850.0
96,4640.0,4640.0,4642.0
97,5319.0,5319.0,5319.0
98,5611.0,5611.0,5611.0
99,5230.0,5230.0,5230.0
100,4957.0,4957.0,4957.0
